Gene,sgRNA,T47D_veh|beta,T47D_veh|z,T47D_veh|p-value,T47D_veh|fdr,T47D_veh|wald-p-value,T47D_veh|wald-fdr,T47D_E2|beta,T47D_E2|z,T47D_E2|p-value,T47D_E2|fdr,T47D_E2|wald-p-value,T47D_E2|wald-fdr,MCF7_veh|beta,MCF7_veh|z,MCF7_veh|p-value,MCF7_veh|fdr,MCF7_veh|wald-p-value,MCF7_veh|wald-fdr,MCF7_E2|beta,MCF7_E2|z,MCF7_E2|p-value,MCF7_E2|fdr,MCF7_E2|wald-p-value,MCF7_E2|wald-fdr
C16orf54,6,0.37204,7.4734,0.1377,0.82284,7.81E-14,8.81E-13,0.21933,3.9017,0.37447,0.90758,9.55E-05,0.00032832,0.46509,9.3224,0.061792,0.67635,1.14E-20,2.72E-19,0.29697,5.7628,0.16392,0.78715,8.27E-09,5.97E-08
MRO,6,0.37207,7.7766,0.1377,0.82284,7.45E-15,9.63E-14,0.059033,1.0508,0.97282,0.99714,0.29336,0.37903,0.32251,6.5965,0.19794,0.81904,4.21E-11,3.12E-10,0.23068,4.6083,0.30011,0.8795,4.06E-06,1.76E-05
ABO,6,0.37233,7.6781,0.13757,0.82284,1.61E-14,2.01E-13,0.13826,2.443,0.6479,0.96597,0.014565,0.028812,0.15608,3.0588,0.61591,0.95844,0.0022224,0.0046222,0.32266,6.4324,0.12725,0.7439,1.26E-10,1.26E-09
PNLIPRP3,6,0.37245,7.8846,0.13734,0.82284,3.15E-15,4.26E-14,0.11627,2.1563,0.73367,0.97527,0.031062,0.055735,-0.067986,-1.3331,0.55737,0.94414,0.18251,0.24043,0.064609,1.2806,0.89755,0.98998,0.20033,0.27167
SLC6A19,6,0.37247,7.3822,0.13729,0.82284,1.56E-13,1.67E-12,-0.094636,-1.4896,0.45602,0.93249,0.13633,0.19907,0.38701,7.5524,0.11836,0.74971,4.27E-14,4.74E-13,0.23258,4.365,0.29457,0.876,1.27E-05,4.96E-05
GPR137B,6,0.3726,7.3874,0.13711,0.82238,1.50E-13,1.61E-12,0.075928,1.2729,0.90071,0.99102,0.20305,0.27921,0.27878,5.3594,0.27807,0.85924,8.35E-08,3.80E-07,0.16397,3.0584,0.49713,0.93416,0.002225,0.0052622
TRMT12,6,0.3726,7.5123,0.13711,0.82238,5.81E-14,6.69E-13,0.27839,4.9661,0.23236,0.84367,6.83E-07,3.70E-06,-0.10536,-1.9242,0.44359,0.91847,0.054328,0.083042,-0.13814,-2.4745,0.34632,0.89464,0.013342,0.025799
SYT1,6,0.37268,7.4153,0.13711,0.82238,1.21E-13,1.32E-12,0.2545,4.4028,0.28508,0.8736,1.07E-05,4.56E-05,0.18064,3.4146,0.53459,0.93853,0.00063868,0.0014855,-0.029527,-0.52845,0.70254,0.96208,0.59719,0.6679
SULT1C2,6,0.37283,8.0748,0.13692,0.82219,6.76E-16,1.00E-14,0.25366,4.982,0.28705,0.87519,6.29E-07,3.44E-06,-0.088983,-1.7926,0.49104,0.93161,0.073034,0.10772,-0.02728,-0.54934,0.71249,0.9625,0.58277,0.65521
BMP6,6,0.37289,7.3991,0.13688,0.82214,1.37E-13,1.48E-12,0.13679,2.2816,0.6535,0.96697,0.022512,0.042264,0.33102,6.4023,0.18414,0.80646,1.53E-10,1.05E-09,0.13021,2.3948,0.62122,0.95395,0.016631,0.031396
KRTAP13-4,6,0.37308,8.0645,0.13674,0.82214,7.36E-16,1.08E-14,0.30187,5.9361,0.18973,0.83276,2.92E-09,2.50E-08,0.22836,4.7892,0.39752,0.90465,1.67E-06,6.15E-06,0.25161,5.2481,0.24685,0.8455,1.54E-07,8.78E-07
ABCA9,6,0.37322,7.242,0.1366,0.82214,4.42E-13,4.45E-12,0.23865,4.0284,0.32372,0.88911,5.61E-05,0.00020385,0.26238,4.9106,0.31341,0.87173,9.08E-07,3.48E-06,0.32115,6.0046,0.12959,0.74677,1.92E-09,1.56E-08
TXNDC12,6,0.37337,7.316,0.13642,0.82142,2.56E-13,2.68E-12,0.16436,2.7265,0.55063,0.94957,0.0064016,0.014002,0.12693,2.3324,0.71772,0.97257,0.01968,0.03359,0.17252,3.1583,0.46789,0.92978,0.0015867,0.0038801
DDA1,4,0.3734,6.2,0.13633,0.82132,5.65E-10,3.64E-09,0.24666,3.6171,0.30218,0.88113,0.00029787,0.00091521,-0.39106,-5.2355,0.057025,0.67279,1.65E-07,7.13E-07,-0.34846,-4.9432,0.066331,0.64933,7.69E-07,3.85E-06
TRIM42,6,0.37356,8.2016,0.13619,0.82117,2.37E-16,3.71E-15,0.34141,6.9116,0.13142,0.78548,4.79E-12,6.77E-11,0.12427,2.62,0.72776,0.97459,0.0087918,0.016182,0.29491,6.3001,0.16686,0.78953,2.98E-10,2.81E-09
ZNHIT1,6,0.37369,7.2087,0.13596,0.82024,5.65E-13,5.59E-12,0.021777,0.35606,0.87302,0.98918,0.72179,0.78406,0.17661,3.2577,0.5477,0.9417,0.0011233,0.0024914,0.11337,2.0483,0.68985,0.96116,0.040534,0.068413
MESP1,6,0.37397,6.9715,0.13582,0.81987,3.14E-12,2.82E-11,0.19364,3.0412,0.45198,0.93198,0.002356,0.0057899,0.18316,3.2216,0.5267,0.9364,0.0012747,0.0027969,0.21481,3.7525,0.34091,0.89331,0.00017508,0.00053309
HTR2B,6,0.37412,7.506,0.13564,0.81987,6.10E-14,6.99E-13,0.31543,5.569,0.16878,0.81895,2.56E-08,1.85E-07,0.54417,11.019,0.032776,0.62817,3.09E-28,1.55E-26,0.1216,2.2614,0.65725,0.95631,0.023736,0.0429
OR13D1,6,0.37426,7.6833,0.13541,0.81942,1.55E-14,1.93E-13,0.39959,7.4764,0.074582,0.71117,7.64E-14,1.43E-12,0.3322,6.6778,0.18217,0.80461,2.43E-11,1.85E-10,0.32755,6.5172,0.12061,0.73523,7.16E-11,7.47E-10
UHRF2,6,0.37431,7.7439,0.13532,0.81932,9.64E-15,1.23E-13,0.27631,5.0749,0.23676,0.84438,3.88E-07,2.22E-06,0.17304,3.4178,0.55939,0.94414,0.00063128,0.00147,0.11455,2.2159,0.68462,0.96,0.026695,0.047598
TEPP,6,0.37454,7.3055,0.13523,0.81927,2.76E-13,2.88E-12,0.065373,1.0797,0.94554,0.99489,0.28029,0.36518,0.39684,7.643,0.10882,0.7358,2.12E-14,2.46E-13,0.2166,4.0133,0.3355,0.89169,5.99E-05,0.0002023
PRKAG3,6,0.37459,7.1422,0.13518,0.81927,9.18E-13,8.86E-12,0.2954,4.9434,0.20073,0.84004,7.68E-07,4.12E-06,0.013516,0.23813,0.8441,0.98294,0.81178,0.85045,-0.016766,-0.28995,0.75499,0.96995,0.77185,0.82054
A3GALT2,6,0.37461,6.7684,0.13514,0.81927,1.30E-11,1.08E-10,-0.074754,-1.1939,0.5168,0.94701,0.2325,0.31213,-0.080252,-1.4381,0.51685,0.93446,0.15041,0.20301,-0.02146,-0.38409,0.73468,0.96508,0.70091,0.75992
FREM3,6,0.37462,7.6434,0.13514,0.81927,2.12E-14,2.58E-13,0.23082,4.1597,0.34398,0.89641,3.19E-05,0.0001217,-0.11406,-2.1169,0.41847,0.91047,0.034264,0.055189,0.18716,3.6185,0.42205,0.91724,0.00029635,0.00085503
IKBKAP,6,0.37463,7.1525,0.13514,0.81927,8.52E-13,8.26E-12,0.075637,1.2072,0.90218,0.99108,0.22735,0.30653,-0.081127,-1.3984,0.51428,0.93414,0.162,0.21662,0.05049,0.88223,0.96131,0.99508,0.37765,0.46107
CPO,6,0.37475,7.8008,0.13504,0.81927,6.15E-15,8.03E-14,0.17237,3.1245,0.52326,0.94701,0.0017813,0.0045007,0.26081,5.2604,0.31744,0.87331,1.44E-07,6.32E-07,0.12428,2.4267,0.64607,0.95631,0.015236,0.02904
HTR1B,6,0.37478,7.4885,0.135,0.81927,6.97E-14,7.92E-13,0.27659,5.0224,0.23612,0.84438,5.10E-07,2.83E-06,0.077027,1.4653,0.90685,0.98964,0.14284,0.19398,0.092192,1.7416,0.77836,0.97201,0.081577,0.12557
PKD2L2,6,0.37486,6.7829,0.135,0.81927,1.18E-11,9.80E-11,0.36477,6.1474,0.10525,0.76074,7.87E-10,7.51E-09,0.35551,6.5704,0.15113,0.78142,5.02E-11,3.68E-10,0.22062,3.936,0.32505,0.89058,8.29E-05,0.00027126
NEBL,6,0.37488,7.2395,0.135,0.81927,4.50E-13,4.52E-12,0.31524,5.342,0.16915,0.81899,9.19E-08,5.94E-07,0.27748,5.1703,0.28095,0.86229,2.34E-07,9.88E-07,0.26515,4.8704,0.21802,0.82814,1.11E-06,5.40E-06
CEP70,6,0.37497,7.3209,0.13491,0.81927,2.46E-13,2.58E-12,0.33901,5.8527,0.13449,0.79169,4.84E-09,3.97E-08,0.13817,2.5373,0.67697,0.96708,0.01117,0.020089,0.29394,5.4913,0.16823,0.78953,3.99E-08,2.54E-07
ZKSCAN7,6,0.375,7.6906,0.13482,0.81927,1.47E-14,1.83E-13,0.42812,8.0511,0.055696,0.6709,8.21E-16,2.13E-14,0.36436,7.3495,0.14105,0.7758,1.99E-13,2.03E-12,0.10124,1.9405,0.74036,0.96749,0.052315,0.085449
SLC4A10,6,0.37504,7.8086,0.13463,0.81927,5.78E-15,7.57E-14,0.31084,5.8339,0.1752,0.82051,5.41E-09,4.41E-08,0.17843,3.5604,0.54155,0.93935,0.00037029,0.00089815,0.14629,2.8758,0.55893,0.94395,0.0040296,0.0089316
PIK3R3,6,0.37508,7.5928,0.13463,0.81927,3.13E-14,3.72E-13,0.28379,5.1426,0.22136,0.84325,2.71E-07,1.60E-06,0.52663,10.719,0.037635,0.63905,8.25E-27,3.66E-25,0.2892,5.6426,0.17589,0.79314,1.68E-08,1.14E-07
KIAA0247,6,0.3754,7.8086,0.13454,0.81927,5.78E-15,7.57E-14,0.22734,4.17,0.35361,0.90134,3.05E-05,0.000117,0.0081766,0.15821,0.82324,0.98263,0.87429,0.90204,0.061922,1.1958,0.91025,0.98998,0.23176,0.30648
ROCK2,6,0.37544,7.284,0.13454,0.81927,3.24E-13,3.33E-12,0.3492,6.103,0.12285,0.78257,1.04E-09,9.70E-09,0.19261,3.5764,0.49906,0.93297,0.00034838,0.00085011,0.10284,1.8608,0.73312,0.96508,0.062775,0.10012
DDIT4,6,0.37566,7.3496,0.13427,0.81927,1.99E-13,2.10E-12,0.31615,5.3591,0.16732,0.8169,8.36E-08,5.45E-07,0.30526,5.776,0.22645,0.8339,7.65E-09,4.07E-08,0.34494,6.4948,0.10071,0.70338,8.31E-11,8.61E-10
FTSJD1,5,0.37579,7.2567,0.13413,0.81927,3.97E-13,4.02E-12,-0.011013,-0.1793,0.7422,0.9759,0.8577,0.89447,0.28227,5.3068,0.27137,0.85589,1.12E-07,4.99E-07,0.22797,4.2118,0.30626,0.88096,2.53E-05,9.26E-05
AFTPH,6,0.37582,8.0483,0.13404,0.81927,8.39E-16,1.22E-14,0.06945,1.2903,0.92876,0.99456,0.19695,0.27197,0.011248,0.2261,0.83447,0.98294,0.82113,0.85858,-0.1497,-2.8983,0.31785,0.88635,0.0037523,0.0083775
NTMT1,6,0.37597,7.7575,0.13385,0.81927,8.66E-15,1.11E-13,0.19148,3.4429,0.4584,0.93285,0.0005756,0.0016455,-0.21126,-3.8775,0.21682,0.83084,0.00010553,0.00028509,-0.35805,-6.2803,0.061792,0.64282,3.38E-10,3.16E-09
SNRPN,6,0.37602,7.6865,0.13381,0.81927,1.51E-14,1.89E-13,0.15323,2.685,0.59363,0.95892,0.0072532,0.015617,0.4038,8.1548,0.10291,0.72866,3.50E-16,4.98E-15,0.46813,9.4537,0.030667,0.59448,3.27E-21,1.57E-19
CLYBL,6,0.37621,7.7028,0.13362,0.81927,1.33E-14,1.67E-13,0.2534,4.6641,0.28737,0.87544,3.10E-06,1.47E-05,0.26915,5.3658,0.29975,0.8685,8.06E-08,3.69E-07,0.044979,0.86025,0.98556,0.99745,0.38965,0.47334
CNTF,6,0.37634,7.7073,0.13339,0.81903,1.29E-14,1.62E-13,0.54634,10.376,0.019711,0.60055,3.20E-25,2.75E-23,0.48842,10.006,0.050287,0.65337,1.43E-23,4.64E-22,0.4084,8.1814,0.053037,0.62312,2.81E-16,6.73E-15
ZFP112,6,0.37651,7.5062,0.13335,0.81903,6.09E-14,6.98E-13,0.11888,2.0341,0.72326,0.97333,0.041942,0.07238,0.02491,0.46134,0.8887,0.98829,0.64456,0.70651,0.036223,0.66447,0.97639,0.99644,0.50639,0.58614
SLC46A2,6,0.37665,7.851,0.13303,0.8189,4.13E-15,5.50E-14,0.16073,2.9831,0.56392,0.95273,0.0028535,0.0068676,0.33581,6.8777,0.17717,0.80004,6.08E-12,5.04E-11,0.019823,0.38574,0.90676,0.98998,0.69969,0.75896
COX19,6,0.37681,7.0601,0.13289,0.8189,1.66E-12,1.55E-11,0.51576,8.8021,0.025991,0.60893,1.34E-18,4.88E-17,0.31642,5.7452,0.20802,0.8279,9.18E-09,4.83E-08,0.45286,8.3351,0.035205,0.60015,7.74E-17,2.04E-15
FAM90A1,6,0.37684,7.3299,0.13289,0.8189,2.30E-13,2.43E-12,-0.0065519,-0.10267,0.75998,0.97711,0.91822,0.94078,0.23451,4.3594,0.38153,0.89833,1.30E-05,4.12E-05,0.17529,3.1797,0.45945,0.92737,0.001474,0.0036293
LCE1E,5,0.37702,6.9739,0.13275,0.8189,3.08E-12,2.78E-11,0.011299,0.17388,0.83076,0.98684,0.86196,0.89772,0.22046,3.9113,0.41916,0.91047,9.18E-05,0.00025041,-0.014687,-0.24678,0.76337,0.97005,0.80508,0.84812
MALL,6,0.37705,7.9024,0.13275,0.8189,2.74E-15,3.74E-14,0.18761,3.4801,0.47243,0.93838,0.00050118,0.001455,0.34901,7.1888,0.15948,0.79014,6.54E-13,6.19E-12,0.30749,6.2434,0.14893,0.77268,4.28E-10,3.93E-09
EIF2D,6,0.37719,7.4515,0.13262,0.8189,9.23E-14,1.03E-12,0.28317,4.9032,0.22283,0.84325,9.43E-07,4.97E-06,0.010824,0.19657,0.83314,0.98294,0.84417,0.87718,0.017343,0.31132,0.89709,0.98998,0.75556,0.80674
DNAJB5,6,0.37722,7.6518,0.13252,0.8189,1.98E-14,2.44E-13,0.041336,0.70048,0.95315,0.99572,0.48362,0.57081,0.065369,1.2378,0.95072,0.99402,0.21581,0.27859,0.013113,0.24286,0.87944,0.98771,0.80811,0.85053
ELF3,6,0.37732,7.9742,0.13239,0.8189,1.53E-15,2.17E-14,0.055473,1.0197,0.9873,0.99847,0.30788,0.3949,0.07009,1.4033,0.93284,0.99204,0.16051,0.21489,0.16657,3.3504,0.48815,0.93143,0.00080692,0.0021119
SEC61G,6,0.37732,7.2665,0.13239,0.8189,3.69E-13,3.75E-12,-0.31525,-4.495,0.095622,0.74651,6.96E-06,3.09E-05,-0.47408,-7.433,0.032913,0.62817,1.06E-13,1.11E-12,-0.24601,-4.0196,0.15026,0.77549,5.83E-05,0.00019751
SDC1,6,0.37735,7.914,0.13234,0.8189,2.49E-15,3.42E-14,0.12698,2.3369,0.69196,0.96962,0.019445,0.037151,0.13503,2.7049,0.68792,0.96782,0.0068324,0.012886,0.00087676,0.017039,0.82787,0.98021,0.98641,0.99022
ALOX5,6,0.37745,7.9147,0.13225,0.8189,2.48E-15,3.40E-14,-0.070431,-1.2197,0.53074,0.94701,0.22259,0.30129,0.087905,1.7383,0.8645,0.98501,0.082157,0.11938,-0.16525,-3.0835,0.28435,0.87074,0.0020457,0.0048757
ZC3H13,6,0.37761,7.3153,0.13216,0.8189,2.57E-13,2.69E-12,0.19778,3.3248,0.4386,0.93112,0.00088495,0.0024146,0.49417,9.5831,0.04827,0.65135,9.42E-22,2.51E-20,0.48664,9.3347,0.026083,0.59095,1.01E-20,4.62E-19
STOM,6,0.37762,7.427,0.13211,0.8189,1.11E-13,1.22E-12,-0.016944,-0.26922,0.71836,0.97287,0.78776,0.83821,0.27081,5.1314,0.29631,0.86657,2.88E-07,1.20E-06,0.20106,3.7143,0.37983,0.90555,0.00020379,0.00061144
GOLGA4,6,0.37764,7.5812,0.13211,0.8189,3.42E-14,4.05E-13,0.20969,3.6022,0.40339,0.91882,0.00031548,0.00096361,0.42847,8.5207,0.084071,0.71641,1.59E-17,2.70E-16,0.28135,5.3917,0.18923,0.80023,6.98E-08,4.24E-07
FOXR1,6,0.37769,8.5149,0.13207,0.8189,1.67E-17,2.96E-16,0.39268,8.3702,0.080403,0.72612,5.75E-17,1.73E-15,-0.032988,-0.7092,0.67454,0.96708,0.4782,0.55079,0.010126,0.21718,0.86674,0.98561,0.82807,0.86639
CCZ1B,4,0.37775,6.0634,0.13202,0.8189,1.33E-09,8.16E-09,0.37145,5.432,0.098235,0.75157,5.57E-08,3.74E-07,0.086291,1.3068,0.87046,0.98567,0.1913,0.25061,-0.25074,-3.5511,0.14449,0.76672,0.00038359,0.0010796
LOC100129520,6,0.37779,7.756,0.13202,0.8189,8.76E-15,1.13E-13,0.48522,9.1736,0.032455,0.62153,4.57E-20,2.05E-18,0.18558,3.6371,0.51987,0.93538,0.00027576,0.00068586,-0.027488,-0.51218,0.71139,0.9625,0.60852,0.67842
TMEM8A,6,0.3779,7.3832,0.13179,0.8189,1.55E-13,1.66E-12,0.37789,6.7077,0.092964,0.74322,1.98E-11,2.51E-10,0.19887,3.7294,0.47981,0.92862,0.00019197,0.00049238,0.28545,5.3712,0.18231,0.79818,7.82E-08,4.71E-07
MX2,6,0.37804,7.2696,0.13165,0.8189,3.61E-13,3.68E-12,0.29011,4.8859,0.20999,0.84171,1.03E-06,5.40E-06,0.13915,2.5167,0.67307,0.96708,0.011845,0.021201,0.23938,4.3587,0.27632,0.86226,1.31E-05,5.09E-05
CRTC2,6,0.37814,7.9988,0.13147,0.8189,1.26E-15,1.79E-14,0.19039,3.5459,0.46243,0.93429,0.00039133,0.0011669,0.078215,1.5621,0.90195,0.98964,0.11827,0.16437,0.13372,2.6666,0.60775,0.95308,0.0076613,0.015798
TTC23,6,0.37814,7.3834,0.13147,0.8189,1.54E-13,1.66E-12,0.0063633,0.10063,0.80871,0.98225,0.91985,0.94209,0.3367,6.404,0.17566,0.79933,1.51E-10,1.04E-09,0.18069,3.2947,0.44263,0.92156,0.00098532,0.0025266
ZNF879,6,0.37821,7.604,0.13138,0.8189,2.87E-14,3.44E-13,-0.028362,-0.47055,0.67403,0.96795,0.63796,0.7118,0.27593,5.3695,0.28421,0.86327,7.89E-08,3.62E-07,-0.084784,-1.5277,0.50227,0.93613,0.12659,0.18341
PRKAR2A,6,0.37823,8.0375,0.13133,0.8189,9.17E-16,1.32E-14,0.28319,5.4429,0.22274,0.84325,5.24E-08,3.53E-07,0.24363,5.0248,0.35783,0.88679,5.04E-07,2.02E-06,0.40915,8.5483,0.052579,0.62168,1.25E-17,3.68E-16
RAG2,6,0.37834,6.8995,0.1311,0.8189,5.22E-12,4.56E-11,0.1876,2.8635,0.47252,0.93838,0.0041898,0.0096527,-0.23356,-3.6399,0.18299,0.80553,0.00027271,0.00067897,-0.16166,-2.5241,0.29228,0.87588,0.011598,0.022804
SPRR1B,6,0.37852,7.5694,0.13106,0.8189,3.75E-14,4.41E-13,0.37813,6.7776,0.092826,0.74322,1.22E-11,1.61E-10,0.34569,6.7608,0.16383,0.79269,1.37E-11,1.09E-10,0.4801,9.4948,0.027825,0.59095,2.21E-21,1.10E-19
VSTM4,6,0.37857,7.3811,0.13106,0.8189,1.57E-13,1.68E-12,0.20656,3.9878,0.41206,0.92291,6.67E-05,0.00023749,0.26078,5.4483,0.31749,0.87331,5.09E-08,2.40E-07,-0.063934,-1.2671,0.5736,0.94631,0.2051,0.27715
CDC5L,6,0.3787,8.0029,0.13092,0.8189,1.21E-15,1.73E-14,-0.10387,-1.8135,0.43085,0.9298,0.069752,0.11202,-0.12304,-2.3724,0.39519,0.90327,0.017675,0.030463,-0.44484,-7.9377,0.035068,0.60015,2.06E-15,4.40E-14
DEFB106A,4,0.37879,6.7101,0.13087,0.8189,1.94E-11,1.58E-10,0.38652,6.3633,0.0854,0.72784,1.97E-10,2.09E-09,0.39313,6.8964,0.11235,0.74004,5.33E-12,4.45E-11,0.3234,5.5894,0.12629,0.7439,2.28E-08,1.52E-07
ZNF544,6,0.37899,7.7292,0.1306,0.8189,1.08E-14,1.38E-13,0.1415,2.5583,0.63603,0.96597,0.010517,0.021698,-0.030346,-0.57854,0.68389,0.96782,0.5629,0.63164,0.30277,5.9906,0.15618,0.78372,2.09E-09,1.69E-08
EVI2A,6,0.37904,7.6784,0.13051,0.8189,1.61E-14,2.00E-13,0.026275,0.43948,0.89003,0.99006,0.66031,0.73098,0.063,1.1869,0.95998,0.99529,0.23529,0.30012,0.061793,1.1492,0.91093,0.99013,0.25046,0.32688
C4orf26,6,0.37905,7.8295,0.13051,0.8189,4.90E-15,6.47E-14,0.090279,1.5802,0.84071,0.98687,0.11405,0.17106,-0.0027909,-0.053213,0.78258,0.97982,0.95756,0.96718,0.064414,1.2288,0.89828,0.98998,0.21916,0.29255
BUB1B,6,0.37912,8.0089,0.13046,0.8189,1.16E-15,1.66E-14,0.33525,6.4645,0.13917,0.79539,1.02E-10,1.13E-09,-0.12225,-2.3742,0.39734,0.90465,0.017589,0.03033,-0.075049,-1.4535,0.53514,0.93979,0.1461,0.20728
COL11A1,6,0.37913,6.1062,0.13046,0.8189,1.02E-09,6.34E-09,0.16427,2.1162,0.55113,0.94976,0.03433,0.060847,0.40745,6.4393,0.099931,0.72546,1.20E-10,8.33E-10,0.35809,5.505,0.08838,0.68833,3.69E-08,2.36E-07
TAS2R16,6,0.37913,7.9506,0.13041,0.8189,1.86E-15,2.59E-14,0.2644,5.0191,0.26308,0.86197,5.19E-07,2.88E-06,0.14353,2.8863,0.65868,0.96545,0.0038977,0.0077355,0.27545,5.5888,0.19876,0.81168,2.29E-08,1.52E-07
RYK,6,0.37917,7.5032,0.13037,0.8189,6.23E-14,7.12E-13,0.30049,5.3694,0.19257,0.83719,7.90E-08,5.17E-07,0.50612,10.037,0.043915,0.65105,1.05E-23,3.47E-22,0.21186,4.0032,0.34857,0.89606,6.25E-05,0.0002104
MAP6,6,0.37926,7.7788,0.13028,0.8189,7.32E-15,9.48E-14,0.28762,5.2358,0.21389,0.84171,1.64E-07,1.01E-06,0.11839,2.2936,0.75058,0.9789,0.021814,0.036869,0.10832,2.0714,0.71029,0.9625,0.038317,0.065235
PROP1,6,0.37928,8.1045,0.13023,0.8189,5.30E-16,7.95E-15,0.29639,5.6979,0.19862,0.83885,1.21E-08,9.26E-08,0.4402,9.3512,0.076645,0.70728,8.67E-21,2.11E-19,0.38851,8.1311,0.064818,0.64601,4.25E-16,9.92E-15
COL4A5,6,0.37942,8.0563,0.13014,0.8189,7.86E-16,1.15E-14,0.45957,9.1291,0.041577,0.6407,6.91E-20,3.00E-18,0.27778,5.758,0.2805,0.86223,8.51E-09,4.49E-08,0.20004,4.0726,0.38235,0.90653,4.65E-05,0.00016095
DPYS,6,0.3797,7.8769,0.12996,0.8189,3.36E-15,4.52E-14,-0.017555,-0.30334,0.71579,0.97236,0.76163,0.81626,0.53722,11.215,0.03438,0.63325,3.45E-29,1.91E-27,0.23757,4.7039,0.28063,0.86613,2.55E-06,1.15E-05
SLC5A8,6,0.37971,7.4744,0.12996,0.8189,7.75E-14,8.76E-13,0.23638,4.0037,0.32991,0.89239,6.24E-05,0.00022341,0.039939,0.72386,0.9476,0.9928,0.46915,0.54189,-0.078259,-1.3636,0.52446,0.93873,0.1727,0.23946
MYCL,5,0.37972,6.5204,0.12991,0.8189,7.01E-11,5.18E-10,0.4433,6.9068,0.048499,0.66018,4.96E-12,6.97E-11,0.45264,7.7291,0.068852,0.69026,1.08E-14,1.30E-13,0.10897,1.7331,0.70804,0.9625,0.083071,0.12755
FMO1,6,0.37975,7.8468,0.12986,0.8189,4.27E-15,5.68E-14,0.098815,1.7586,0.80628,0.98212,0.078646,0.12437,0.32957,6.6646,0.18634,0.80827,2.65E-11,2.02E-10,0.23103,4.5603,0.29897,0.87909,5.11E-06,2.16E-05
ASIC2,6,0.3799,7.5299,0.12964,0.8189,5.08E-14,5.87E-13,0.13469,2.2777,0.66042,0.96698,0.022745,0.04262,0.24063,4.5856,0.36443,0.88998,4.53E-06,1.54E-05,0.23165,4.3589,0.2975,0.87882,1.31E-05,5.08E-05
ACAA2,6,0.38006,7.7881,0.12931,0.8189,6.80E-15,8.85E-14,0.24104,4.345,0.31657,0.88727,1.39E-05,5.78E-05,0.2001,3.9271,0.47536,0.92705,8.60E-05,0.00023591,0.31047,6.138,0.14371,0.76672,8.36E-10,7.28E-09
SPATA21,6,0.38039,7.9407,0.12918,0.8189,2.01E-15,2.79E-14,-0.081461,-1.3803,0.49539,0.94252,0.16749,0.23706,-0.0094029,-0.18107,0.75957,0.97974,0.85632,0.88693,-0.11076,-2.0637,0.42109,0.91724,0.039046,0.066324
SEMA3D,6,0.38042,7.8834,0.12918,0.8189,3.19E-15,4.30E-14,0.091737,1.6369,0.83534,0.98684,0.10165,0.15506,0.42101,8.6469,0.08893,0.71851,5.29E-18,9.57E-17,0.35493,7.1601,0.091038,0.6915,8.06E-13,1.15E-11
TFCP2L1,6,0.38059,7.3606,0.12904,0.8189,1.83E-13,1.95E-12,0.34439,5.8225,0.12808,0.78483,5.80E-09,4.70E-08,0.40411,7.6961,0.10268,0.72866,1.40E-14,1.66E-13,0.34758,6.4698,0.097639,0.69788,9.82E-11,1.01E-09
SETD3,6,0.38071,7.4562,0.12895,0.8189,8.91E-14,9.96E-13,0.1018,1.6677,0.79491,0.98177,0.09538,0.14685,0.23156,4.3383,0.38918,0.89994,1.44E-05,4.51E-05,0.25829,4.8054,0.23209,0.83448,1.54E-06,7.29E-06
ACHE,6,0.38074,8.2973,0.12895,0.8189,1.06E-16,1.73E-15,0.25705,5.0784,0.27949,0.8717,3.81E-07,2.18E-06,0.089635,1.8631,0.85808,0.98382,0.062441,0.093806,0.063346,1.2157,0.90328,0.98998,0.2241,0.29814
EGR1,6,0.381,7.8325,0.12854,0.8189,4.78E-15,6.33E-14,0.41391,7.7559,0.065093,0.69951,8.77E-15,1.89E-13,0.50969,10.505,0.042494,0.64644,8.20E-26,3.37E-24,0.27111,5.3454,0.20701,0.81826,9.02E-08,5.37E-07
ABCD2,6,0.38102,7.902,0.12854,0.8189,2.75E-15,3.75E-14,0.32379,6.071,0.15586,0.80994,1.27E-09,1.16E-08,-0.23729,-4.4011,0.17703,0.8,1.08E-05,3.46E-05,-0.064113,-1.2126,0.57295,0.94631,0.2253,0.29943
NETO2,6,0.38103,7.0237,0.12854,0.8189,2.16E-12,1.98E-11,0.41355,6.9295,0.065276,0.69951,4.22E-12,6.02E-11,-0.0061563,-0.10474,0.77254,0.97974,0.91658,0.9354,0.072015,1.2283,0.86486,0.98502,0.21934,0.29276
MBD6,6,0.38115,7.6357,0.12854,0.8189,2.25E-14,2.74E-13,-0.049652,-0.80858,0.59551,0.95931,0.41876,0.50873,-0.1549,-2.7643,0.31983,0.87387,0.0057039,0.01092,-0.22484,-3.897,0.17823,0.79542,9.74E-05,0.00031434
TUBAL3,6,0.38118,8.0623,0.12849,0.8189,7.49E-16,1.10E-14,0.17227,3.1949,0.52358,0.94701,0.0013986,0.0036313,0.22156,4.5204,0.41549,0.91047,6.17E-06,2.06E-05,0.23103,4.6752,0.29897,0.87909,2.94E-06,1.31E-05
HIST3H2A,6,0.3812,7.5859,0.12849,0.8189,3.30E-14,3.92E-13,0.1551,2.6545,0.58648,0.9572,0.0079424,0.016933,0.19101,3.626,0.50342,0.93365,0.0002879,0.00071338,0.19459,3.6554,0.39936,0.91349,0.00025683,0.00075234
